ref_mol	ref_frame	mol	frame	   rmsd
      1	        2	  0	   34	  3.060
      1	        2	  0	   35	  2.982
      1	        2	  0	   36	  2.968
      1	        2	  0	   37	  2.870
      1	        2	  0	   38	  2.729
      1	        2	  0	   39	  2.924
      1	        2	  0	   40	  2.972
      1	        2	  0	   41	  2.896
      1	        2	  0	   42	  3.032
      1	        2	  0	   43	  1.385
      1	        2	  0	   44	  2.877
      1	        2	  0	   45	  3.005
      1	        2	  0	   46	  2.890
      1	        2	  0	   47	  2.308
      1	        2	  0	   48	  2.767
      1	        2	  0	   49	  3.022
      1	        2	  0	   50	  2.655
      1	        2	  0	   51	  3.094
      1	        2	  0	   52	  2.688
      1	        2	  0	   53	  2.892
      1	        2	  0	   54	  2.818
      1	        2	  0	   55	  2.878
      1	        2	  0	   56	  3.381
      1	        2	  0	   57	  3.090
      1	        2	  0	   58	  2.923
      1	        2	  0	   59	  2.326
      1	        2	  0	   60	  2.751
      1	        2	  0	   61	  3.356
      1	        2	  0	   62	  2.866
      1	        2	  0	   63	  2.920
      1	        2	  0	   64	  3.178
      1	        2	  0	   65	  3.268
      1	        2	  0	   66	  2.934
      1	        2	  0	   67	  1.396
      1	        2	  0	   68	  3.110
      1	        2	  0	   69	  2.948
      1	        2	  0	   70	  3.044
      1	        2	  0	   71	  2.934
      1	        2	  0	   72	  3.094
      1	        2	  0	   73	  3.051
      1	        2	  0	   74	  2.952
      1	        2	  0	   75	  2.744
      1	        2	  0	   76	  3.008
      1	        2	  0	   77	  2.879
      1	        2	  0	   78	  2.635
      1	        2	  0	   79	  2.027
      1	        2	  0	   80	  3.018
      1	        2	  0	   81	  2.990
      1	        2	  0	   82	  3.000
      1	        2	  0	   83	  2.875
      1	        2	  0	   84	  2.811
      1	        2	  0	   85	  3.055
      1	        2	  0	   86	  2.877
      1	        2	  0	   87	  3.237
      1	        2	  0	   88	  2.821
      1	        2	  0	   89	  1.750
      1	        2	  0	   90	  2.868
      1	        2	  0	   91	  2.893
      1	        2	  0	   92	  2.970
      1	        2	  0	   93	  2.921
      1	        2	  0	   94	  2.815
      1	        2	  0	   95	  2.830
      1	        2	  0	   96	  3.292
      1	        2	  0	   97	  2.909
      1	        2	  0	   98	  3.315
      1	        2	  0	   99	  2.676
      1	        2	  1	    0	  2.940
      1	        2	  1	    1	  2.337
      1	        2	  1	    3	  2.148
      1	        2	  1	    4	  2.571
      1	        2	  1	    5	  1.921
      1	        2	  1	    6	  3.531
      1	        2	  1	    7	  1.873
      1	        2	  1	    8	  1.841
      1	        2	  1	    9	  3.183
      1	        2	  1	   10	  2.239
      1	        2	  1	   11	  3.085
      1	        2	  1	   12	  3.046
      1	        2	  1	   13	  3.490
      1	        2	  1	   14	  2.654
      1	        2	  1	   15	  3.545
      1	        2	  1	   16	  2.944
      1	        2	  1	   17	  3.298
      1	        2	  1	   18	  3.378
      1	        2	  1	   19	  3.059
      1	        2	  1	   20	  1.969
      1	        2	  1	   21	  3.561
      1	        2	  1	   22	  2.083
      1	        2	  1	   23	  3.471
      1	        2	  1	   24	  2.771
      1	        2	  1	   25	  1.442
      1	        2	  1	   26	  3.253
      1	        2	  1	   27	  2.841
      1	        2	  1	   28	  1.753
      1	        2	  1	   29	  2.242
      1	        2	  1	   30	  3.063
      1	        2	  1	   31	  3.028
      1	        2	  1	   32	  3.451
      1	        2	  1	   33	  2.375
      1	        2	  1	   34	  1.294
      1	        2	  1	   35	  2.593
      1	        2	  1	   36	  2.844
      1	        2	  1	   37	  3.366
      1	        2	  1	   38	  2.799
      1	        2	  1	   39	  3.561
      1	        2	  1	   40	  1.341
      1	        2	  1	   41	  3.482
      1	        2	  1	   42	  1.241
      1	        2	  1	   43	  3.518
      1	        2	  1	   44	  1.854
      1	        2	  1	   45	  2.238
      1	        2	  1	   46	  1.724
      1	        2	  1	   47	  1.490
      1	        2	  1	   48	  3.545
      1	        2	  1	   49	  3.447
      1	        2	  1	   50	  3.551
      1	        2	  1	   51	  3.382
      1	        2	  1	   52	  1.473
      1	        2	  1	   53	  2.572
      1	        2	  1	   54	  2.425
      1	        2	  1	   55	  3.431
      1	        2	  1	   56	  2.674
      1	        2	  1	   57	  4.048
      1	        2	  1	   58	  1.543
      1	        2	  1	   59	  1.418
      1	        2	  1	   60	  2.587
      1	        2	  1	   61	  3.341
      1	        2	  1	   62	  2.895
      1	        2	  1	   63	  3.394
      1	        2	  1	   64	  1.606
      1	        2	  1	   65	  1.627
      1	        2	  1	   66	  1.858
      1	        2	  1	   67	  2.770
      1	        2	  1	   68	  3.552
      1	        2	  1	   69	  2.766
      1	        2	  1	   70	  1.937
      1	        2	  1	   71	  2.607
      1	        2	  1	   72	  2.258
      1	        2	  1	   73	  1.869
      1	        2	  1	   74	  3.140
      1	        2	  1	   75	  2.893
      1	        2	  1	   76	  2.666
      1	        2	  1	   77	  2.639
      1	        2	  1	   78	  3.611
      1	        2	  1	   79	  2.193
      1	        2	  1	   80	  1.932
      1	        2	  1	   81	  2.739
      1	        2	  1	   82	  1.661
      1	        2	  1	   83	  2.738
      1	        2	  1	   84	  2.855
      1	        2	  1	   85	  3.239
      1	        2	  1	   86	  3.514
      1	        2	  1	   87	  3.528
      1	        2	  1	   88	  1.690
      1	        2	  1	   89	  2.434
      1	        2	  1	   90	  1.872
      1	        2	  1	   91	  3.129
      1	        2	  1	   92	  2.658
      1	        2	  1	   93	  3.497
      1	        2	  1	   94	  3.596
      1	        2	  1	   95	  3.576
      1	        2	  1	   96	  3.495
      1	        2	  1	   97	  3.598
      1	        2	  1	   98	  2.685
      1	        2	  1	   99	  3.636
      1	        3	  0	    0	  2.816
      1	        3	  0	    1	  3.421
      1	        3	  0	    2	  2.138
      1	        3	  0	    3	  3.029
      1	        3	  0	    4	  3.098
      1	        3	  0	    5	  3.007
      1	        3	  0	    6	  3.165
      1	        3	  0	    7	  2.978
      1	        3	  0	    8	  3.078
      1	        3	  0	    9	  3.075
      1	        3	  0	   10	  3.098
      1	        3	  0	   11	  3.175
      1	        3	  0	   12	  3.045
      1	        3	  0	   13	  2.832
      1	        3	  0	   14	  3.160
      1	        3	  0	   15	  3.295
      1	        3	  0	   16	  3.218
      1	        3	  0	   17	  3.205
      1	        3	  0	   18	  2.960
      1	        3	  0	   19	  3.227
